Seite,Keyword,SV,SV-RBG,KD,Intent,Notizen
/webdesign,webdesign regensburg,,,,"T","Primary – aktuell stark"
/webdesign,webdesigner regensburg,,,,"T",""
/webdesign,webagentur regensburg,,,,"T",""
/webdesign,webentwicklung regensburg,,,,"T",""
/webdesign,website erstellen lassen regensburg,,,,"T","Long-tail"
/webdesign,homepage erstellen lassen regensburg,,,,"T","Synonym"
/webdesign,webdesign agentur regensburg,,,,"T",""
/webdesign,internetagentur regensburg,,,,"T","Altmodisch aber SV?"
/webdesign,website relaunch,,,,"C","National ohne Ortszusatz"
/webdesign,online shop erstellen lassen,,,,"T","National"
/webdesign,online shop erstellen lassen regensburg,,,,"T","Lokal"
/webdesign,shopify agentur regensburg,,,,"T","Prüfen ob SV existiert"
/webdesign,web app entwicklung,,,,"T","National"
/webdesign,web app entwickler,,,,"T",""
/webdesign,svelte entwickler,,,,"T","Nische vermutlich wenig SV"
/webdesign,ux design regensburg,,,,"T","Prüfen ob eigenständig relevant"
/seo,seo regensburg,,,,"T","Primary-Kandidat"
/seo,seo agentur regensburg,,,,"T","Primary-Kandidat"
/seo,suchmaschinenoptimierung regensburg,,,,"T","Formeller ältere Zielgruppe"
/seo,seo beratung regensburg,,,,"T",""
/seo,seo freelancer regensburg,,,,"T",""
/seo,seo audit,,,,"C","National – Einstiegsprodukt"
/seo,seo audit kosten,,,,"C","Preis-Transparenz"
/seo,seo check,,,,"C","Synonym oft kostenlos gemeint"
/seo,website analyse seo,,,,"C",""
/seo,local seo agentur,,,,"T","National"
/seo,seo optimierung,,,,"C","Generisch"
/rundum-sicher,website wartung,,,,"C","Könnten wir nebenbei ranken"
/rundum-sicher,website betreuung,,,,"C",""
/rundum-sicher,website pflege kosten,,,,"C",""
/rundum-sicher,webhosting regensburg,,,,"T","Prüfen ob relevant"
/rundum-sicher,barrierefreie website erstellen,,,,"C","Eher Ratgeber-Thema"
/ratgeber/seo/keyword-recherche,keyword recherche,,,,"I",""
